"","V1","V2","V3","V4","V5","V6","V7","FY","CY"
"1",780.019871622223,1484.08881899121,14.7983701301241,22704.1129380534,27.0617394158164,8.19023319855174e-10,0.0281623040173268,2003,2003
"2",1870.29861258512,3558.4853156878,35.4829051538534,13925.4563010489,64.8874926458984,1.9638194288746e-09,0.0675263798360212,2003,2003
"3",1011.24464939975,12588.6666017657,125.526009921892,8680.4592073465,229.549074698332,6.94730084937666e-09,0.23888452731062,2003,2003
"4",361.505651962902,7956.92682266198,304.748578314349,5916.32763612117,557.292900580684,1.68664650321237e-08,0.579957254472647,2004,2003
"5",102.213763983598,8829.56737354639,580.840972117735,7027.74510797422,1062.18231408352,3.2146938960756e-08,1.10537984241932,2004,2003
"6",88.4442466050558,13219.3462911041,3113.31232431761,31434.3491032145,833.15267734286,1.72307853715458e-07,5.9248449259856,2004,2003
"7",27.9674469649374,10769.7673751662,4067.98240577392,11251.6214435765,161.952673458253,2.25144554825475e-07,7.74164696795435,2004,2004
"8",56.0530661465479,10332.9015710987,2300.45001060208,9610.85208970832,98.7266916258636,8.30985725943788e-07,28.5736340843459,2004,2004
"9",229.631629877864,7238.07579807602,2080.46212802606,23136.0719102316,121.047600921948,3.88077499722284e-06,133.441335118463,2004,2004
"10",640.423354419413,3569.36847733745,2324.82178270911,36687.2380344734,203.394014139491,1.10487834930691e-05,379.914945289294,2005,2004
"11",1345.70178458695,2283.84195017278,3793.45774914966,30979.2696669377,385.258667312387,2.32872952684262e-05,800.73896944307,2005,2004
"12",2512.30445596105,2837.93375079134,6783.67184245053,25754.8727517938,707.728765147696,4.34946498237634e-05,1495.57347363515,2005,2004
"13",1696.15130967923,7087.83558929401,9058.87039793685,26578.279602728,1009.528383254,0.000117234060809111,1548.81076382325,2005,2005
"14",2225.4073533176,2705.34814044171,3234.67399693188,11249.3486899733,469.777837344497,0.000272999504281586,573.916450056661,2005,2005
"15",1397.65259281835,2401.50775782696,2182.50853939796,8761.06069692292,677.904397243379,0.000947452340941098,456.17889543412,2005,2005
"16",938.228800136963,2731.29935719759,1705.67252960209,8583.43245430009,1065.09136233211,0.00187242055679124,458.762804656831,2006,2005
"17",1419.76231564456,5148.54975788553,1160.83888770076,15440.5044844001,2165.20951655331,0.00395521005597303,832.612065364581,2006,2005
"18",6795.28561486058,25692.5635248286,4086.7419400373,23210.4643118973,2122.12742162134,0.0200910037543926,4128.23249296593,2006,2005
"19",1980.46828808198,9300.66571907813,2488.88597880535,10742.6269021122,1651.64877647284,0.0401206435779299,1202.78927636922,2006,2006
