"","V1","V2","V3","V4","V5","V6","V7","C1","C2","C3","C4","C5","C6","C7","FY","CY"
"48",268771.618417909,19759375.520203,20487717.2117328,97303335.7822428,23393653.638769,0,1889831.54523207,517.509259259259,6429.05733618234,6926.66239316239,17728.3106162843,4836.69863013699,0,2109.84544159544,2011,2010
"49",0,55093.64503132,722057.40558164,1081176.12950927,168142.71471696,0,0,0,400.759145664408,1602.67891324483,1708.89719049089,526.126067716373,0,0,2011,2011
"50",0,0,0,1913421.78540415,39049.1965973535,0,0,0,0,0,1383.26490066225,197.608695652174,0,0,2011,2011
"51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,2011
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,2011
"53",0,1549273.5720741,0,11243504.5888475,447633.423966128,0,27977.088997883,0,1942.60561497326,0,5827.89705882353,667.166666666667,0,166.791666666667,2012,2011
"54",0,284657.976332396,0,0,1138631.90532958,0,0,0,539.813333333333,0,0,1079.62666666667,0,0,2012,2011
"55",49461.7125271425,681990.598349161,15783962.76759,24726051.5530322,4350402.44467541,193694.023792684,424883.510974055,222.234848484848,1333.40909090909,7778.25395256917,8203.70478983382,2444.58333333333,439.698924731183,888.939393939394,2012,2012
"56",54239.7650832104,55299.6981395755,756250.016664372,54239.7650832104,221198.792558302,0,0,232.544444444444,235.158878504673,1175.79439252336,232.544444444444,470.317757009346,0,0,2012,2012
"57",0,0,0,4461640.43946111,1615294.56756627,0,0,0,0,0,2904.46985645933,1276.55421686747,0,0,2012,2012
"58",55827.5247867749,0,0,3979477.42956931,1200533.68866976,0,289640.610299556,334.229512335882,0,0,2307.56605079742,1237.20159151194,0,538.182692307692,2013,2012
"59",52622.2260681449,12310.0624422717,3995249.30242046,4429936.92683257,498118.145292192,0,22498.5646872227,229.395348837209,111.513888888889,3151.61012761694,3170.71284079523,788.839107736118,0,212.166950113379,2013,2012
"60",33915.8719517951,16782408.0479529,1045325.25474589,6215076.91585166,4549552.01226222,0,81555.6683936879,186.753846153846,5907.59794275492,1743.33059033989,3374.05697674419,3657.08837209302,0,389.144186046512,2013,2012
"61",0,0,2569328.48265625,209741.100625,0,0,52435.27515625,0,0,1602.9125,457.975,0,0,228.9875,2013,2013
"62",280813.805261838,502005.64709698,165657.195433712,5844629.86324444,495055.651820271,0,134445.415167069,789.56983408802,1109.13906074241,655.920490093848,4683.618249269,964.520846846699,0,491.938347236705,2013,2013
"63",23143.5338261885,21923.8172801132,232255.226705601,120365.440832573,0,0,0,151.738095238095,147.817796610169,611.169735984355,463.351939374185,0,0,0,2013,2013
"64",35684.8682234573,582072.077579983,7773587.37803641,29083553.6169528,0,0,40256.3254078856,190.245454545455,760.981818181818,4523.46972654675,11520.8784463983,0,0,200.469387755102,2014,2013
