Estimate Status,Year,Wave,Common Name,Fishing Mode,Fishing Area,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2018,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),611,100.1,0,.,611,0%,0%
FINAL,2019,JANUARY/FEBRUARY,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),378,100.1,4281,.,0,0%,0%
FINAL,2019,MARCH/APRIL,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),808,73.2,30477,.,0,0%,0%
FINAL,2019,SEPTEMBER/OCTOBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1103,58.8,0,.,1103,0%,0%
FINAL,2019,SEPTEMBER/OCTOBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),374,99.1,0,.,374,0%,0%
FINAL,2019,NOVEMBER/DECEMBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),636,100.7,4813,.,0,0%,0%
FINAL,2020,JANUARY/FEBRUARY,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),797,74.1,16125,90.2,0,0%,0%
FINAL,2020,MARCH/APRIL,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),311,72.6,11742,.,0,100%,100%
FINAL,2020,SEPTEMBER/OCTOBER,HAWAIIAN GROUPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),376,100.3,853,.,0,0%,0%
FINAL,2004,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),813,99.1,4660,.,0,0%,0%
FINAL,2005,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),775,99.5,3931,.,0,0%,0%
FINAL,2005,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2899,100.2,0,.,2899,0%,0%
FINAL,2007,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),341,100,0,.,341,0%,0%
FINAL,2007,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),509,100,0,.,509,0%,0%
FINAL,2008,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3751,100,0,.,3751,0%,0%
FINAL,2008,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4287,100,0,.,4287,0%,0%
FINAL,2009,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),484,74.6,1131,74.7,0,0%,0%
FINAL,2010,NOVEMBER/DECEMBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2110,61.8,6837,62.4,0,0%,0%
FINAL,2011,SEPTEMBER/OCTOBER,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),167,100.3,386,.,0,0%,0%
FINAL,2012,JANUARY/FEBRUARY,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),889,73.3,0,.,889,0%,0%
FINAL,2012,JULY/AUGUST,BINGHAMS SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),538,100,0,.,538,0%,0%
